date,steps,resting_hr,hrv_last_night,hrv_status,stress_avg,body_battery_high,body_battery_low,intensity_min_moderate,intensity_min_vigorous,active_calories,floors_climbed,training_status,vo2max,fitness_age,heat_acclimation_pct
2025-12-10,10058,46,77,BALANCED,23,78,24,29,0,637,16.0,MAINTAINING,48.9,22,
2025-12-09,8812,49,75,BALANCED,38,96,9,20,49,850,15.7,PRODUCTIVE,48.9,22,
2025-12-08,6913,62,,,26,86,27,5,0,579,18.7,PRODUCTIVE,48.9,22,
2025-12-07,9244,61,,,40,91,21,3,0,697,15.7,PRODUCTIVE,49.0,22,
2025-12-06,14111,49,81,BALANCED,34,96,32,2,19,891,22.9,PRODUCTIVE,49.0,22,
2025-12-05,12913,47,82,BALANCED,37,82,19,29,0,597,15.0,PRODUCTIVE,49.0,22,
2025-12-04,7902,67,,,36,85,22,0,43,1057,4.2,PRODUCTIVE,49.0,22,
2025-12-03,11625,49,71,BALANCED,29,89,18,18,0,560,14.8,PRODUCTIVE,49.0,22,
2025-12-02,10162,46,69,BALANCED,43,93,8,25,0,1083,2.9,PRODUCTIVE,49.0,22,
2025-12-01,18362,46,72,BALANCED,27,90,17,5,0,312,17.7,PRODUCTIVE,49.0,22,
2025-11-30,7518,58,,,43,90,20,30,56,507,12.8,PRODUCTIVE,49.0,22,
2025-11-29,8961,65,,,48,100,10,16,42,869,17.8,MAINTAINING,49.0,22,
2025-11-28,13655,49,76,BALANCED,32,88,22,5,0,381,24.6,PRODUCTIVE,49.0,22,
2025-11-27,6936,58,,,35,98,30,25,25,827,11.5,PRODUCTIVE,49.0,22,
2025-11-26,15039,61,,,26,95,29,13,0,1048,20.4,PRODUCTIVE,49.0,22,
2025-11-25,7861,45,74,BALANCED,48,93,25,20,53,966,19.5,PRODUCTIVE,49.0,22,
2025-11-24,13289,48,69,BALANCED,47,94,21,2,0,841,7.0,PRODUCTIVE,49.0,22,
2025-11-23,15083,50,75,BALANCED,48,78,21,4,0,511,10.4,PRODUCTIVE,49.1,22,
2025-11-22,12753,48,81,BALANCED,48,81,26,27,22,476,2.8,PRODUCTIVE,49.1,22,
2025-11-21,10231,47,71,BALANCED,39,84,13,20,0,357,18.7,PRODUCTIVE,49.1,22,
2025-11-20,10451,49,70,BALANCED,38,98,31,21,37,602,2.9,PRODUCTIVE,49.1,22,
2025-11-19,12411,48,81,BALANCED,24,85,17,11,0,755,6.1,PRODUCTIVE,49.1,22,
2025-11-18,11508,48,69,BALANCED,31,86,21,21,6,537,16.2,MAINTAINING,49.1,22,
2025-11-17,7763,63,,,43,82,26,11,0,602,20.7,PRODUCTIVE,49.1,22,
2025-11-16,8660,61,,,27,84,19,1,0,339,8.1,PRODUCTIVE,49.1,22,
2025-11-15,12882,62,,,23,86,14,14,30,573,18.6,PRODUCTIVE,49.1,22,
2025-11-14,14145,62,,,24,81,20,17,0,999,9.9,PRODUCTIVE,49.2,22,
2025-11-13,13892,50,77,BALANCED,34,82,20,23,16,826,14.8,PRODUCTIVE,49.2,22,
2025-11-12,16939,58,,,27,86,15,29,0,843,18.8,PRODUCTIVE,49.2,22,
2025-11-11,6124,49,78,BALANCED,37,96,30,13,10,884,14.7,PRODUCTIVE,49.2,22,
2025-11-10,18123,49,69,BALANCED,25,93,27,17,0,961,12.1,PRODUCTIVE,49.2,22,
2025-11-09,9113,62,,,27,97,8,20,0,690,6.9,PRODUCTIVE,49.2,22,
2025-11-08,10068,48,76,BALANCED,34,90,26,5,20,794,5.2,PRODUCTIVE,49.2,22,
2025-11-07,9392,67,,,29,89,23,0,0,972,7.0,MAINTAINING,49.2,22,
2025-11-06,17929,45,80,BALANCED,36,78,19,8,53,656,2.4,PRODUCTIVE,49.2,22,
2025-11-05,14288,61,,,22,80,18,20,0,411,19.7,PRODUCTIVE,49.2,22,
2025-11-04,12081,46,77,BALANCED,47,84,13,12,19,639,2.8,PRODUCTIVE,49.2,22,
2025-11-03,10090,62,,,44,98,27,22,0,573,16.6,PRODUCTIVE,49.3,22,
2025-11-02,15445,60,,,48,95,32,6,0,491,10.4,PRODUCTIVE,49.3,22,
2025-11-01,15300,47,70,BALANCED,37,92,22,22,16,437,7.8,PRODUCTIVE,49.3,22,
2025-10-31,18656,48,79,BALANCED,23,96,25,18,0,527,2.5,PRODUCTIVE,49.3,22,
2025-10-30,6608,46,68,BALANCED,31,89,9,1,42,544,21.1,PRODUCTIVE,49.3,22,
2025-10-29,18725,50,70,BALANCED,34,97,8,13,0,390,3.5,PRODUCTIVE,49.3,22,
2025-10-28,7048,48,66,BALANCED,28,100,13,15,35,547,7.6,PRODUCTIVE,49.3,22,
2025-10-27,12622,46,74,BALANCED,35,100,25,2,0,891,2.2,MAINTAINING,49.3,22,
2025-10-26,11490,46,76,BALANCED,26,90,22,18,0,498,8.3,PRODUCTIVE,49.3,22,
2025-10-25,14964,46,69,BALANCED,26,97,8,23,59,863,9.0,PRODUCTIVE,49.3,22,
2025-10-24,16685,48,74,BALANCED,41,89,16,19,0,456,22.8,PRODUCTIVE,49.3,22,
2025-10-23,11543,47,75,BALANCED,27,100,30,29,50,730,14.5,PRODUCTIVE,49.3,22,
2025-10-22,12750,63,,,43,87,16,18,0,361,23.1,PRODUCTIVE,49.3,22,
2025-10-21,16035,46,76,BALANCED,24,88,16,17,57,487,3.2,PRODUCTIVE,49.3,22,
2025-10-20,9109,49,75,BALANCED,41,82,30,28,0,904,21.3,PRODUCTIVE,49.3,22,
2025-10-19,12713,57,,,46,90,14,13,0,551,14.2,PRODUCTIVE,49.3,22,
2025-10-18,18049,49,68,BALANCED,27,82,17,6,22,871,9.3,PRODUCTIVE,49.3,22,
2025-10-17,11211,49,68,BALANCED,33,78,20,23,0,763,22.1,PRODUCTIVE,49.3,22,
2025-10-16,6803,47,72,BALANCED,25,87,27,11,0,955,8.2,MAINTAINING,49.3,22,
2025-10-15,6957,56,,,25,81,21,29,0,316,8.4,PRODUCTIVE,49.3,22,
2025-10-14,17672,49,69,BALANCED,42,98,23,10,0,965,10.1,PRODUCTIVE,49.3,22,
2025-10-13,15150,45,66,BALANCED,46,99,26,11,0,363,15.2,PRODUCTIVE,49.3,22,
2025-10-12,13226,47,78,BALANCED,31,84,17,0,0,708,16.6,PRODUCTIVE,49.3,22,
2025-10-11,16952,48,66,BALANCED,46,83,16,24,0,842,10.7,PRODUCTIVE,49.3,22,
2025-10-10,12287,45,74,BALANCED,35,93,24,1,0,880,6.1,PRODUCTIVE,49.3,22,
2025-10-09,14122,46,72,BALANCED,26,81,28,18,55,958,20.7,PRODUCTIVE,49.3,22,
2025-10-08,10203,49,76,BALANCED,34,86,20,25,0,770,14.4,PRODUCTIVE,49.3,22,
2025-10-07,15029,63,,,29,81,21,21,0,674,15.5,PRODUCTIVE,49.3,22,
2025-10-06,12273,49,72,BALANCED,43,82,17,2,0,421,19.2,PRODUCTIVE,49.3,22,
2025-10-05,18635,49,74,BALANCED,24,95,16,14,0,583,6.4,MAINTAINING,49.3,22,
2025-10-04,14735,48,70,BALANCED,38,94,27,3,24,975,9.2,PRODUCTIVE,49.3,22,
2025-10-03,10085,46,69,BALANCED,22,100,9,14,0,637,18.8,PRODUCTIVE,49.3,22,
2025-10-02,18779,46,66,BALANCED,40,89,32,13,46,535,22.5,PRODUCTIVE,49.3,22,
2025-10-01,6539,62,,,47,88,27,7,0,495,8.8,PRODUCTIVE,49.3,22,
2025-09-30,15979,46,76,BALANCED,48,96,14,25,16,490,9.7,PRODUCTIVE,49.2,22,
2025-09-29,14693,49,68,BALANCED,38,89,26,6,0,805,20.1,PRODUCTIVE,49.2,22,
2025-09-28,10178,62,,,22,95,30,8,0,837,11.6,PRODUCTIVE,49.2,22,
2025-09-27,10393,46,68,BALANCED,25,84,32,11,8,622,6.8,PRODUCTIVE,49.2,22,
2025-09-26,6891,63,,,35,97,19,28,0,349,3.4,PRODUCTIVE,49.2,22,
2025-09-25,13051,59,,,30,83,23,18,48,982,17.8,PRODUCTIVE,49.2,22,
2025-09-24,9891,50,79,BALANCED,35,93,18,6,0,674,20.5,MAINTAINING,49.2,22,
2025-09-23,10930,48,71,BALANCED,30,97,23,9,20,803,23.1,PRODUCTIVE,49.2,22,
2025-09-22,8602,46,67,BALANCED,24,85,17,4,0,317,10.9,PRODUCTIVE,49.2,22,
2025-09-21,10813,48,66,BALANCED,45,85,8,3,0,332,3.5,PRODUCTIVE,49.2,22,
2025-09-20,10362,46,80,BALANCED,43,83,17,5,7,1057,24.7,PRODUCTIVE,49.2,22,
2025-09-19,14993,47,77,BALANCED,43,88,28,20,0,594,3.5,PRODUCTIVE,49.2,22,
2025-09-18,17674,63,,,43,79,10,12,43,711,23.3,PRODUCTIVE,49.2,22,
2025-09-17,14579,57,,,43,85,16,15,0,754,12.0,PRODUCTIVE,49.1,22,
2025-09-16,17476,49,73,BALANCED,24,84,16,6,60,975,6.0,PRODUCTIVE,49.1,22,
2025-09-15,6491,48,80,BALANCED,34,99,29,29,0,667,3.7,PRODUCTIVE,49.1,22,
2025-09-14,6324,49,76,BALANCED,24,99,23,23,0,863,16.3,PRODUCTIVE,49.1,22,
2025-09-13,9625,49,67,BALANCED,34,87,17,12,3,806,10.6,MAINTAINING,49.1,22,
2025-09-12,9668,59,,,26,96,19,19,0,431,16.9,PRODUCTIVE,49.1,22,
2025-09-11,16707,49,66,BALANCED,37,82,28,22,36,570,4.8,PRODUCTIVE,49.1,22,
2025-09-10,10961,49,78,BALANCED,38,96,25,3,0,611,15.3,PRODUCTIVE,49.1,22,
2025-09-09,7707,66,,,43,81,29,12,56,953,4.0,PRODUCTIVE,49.1,22,
2025-09-08,9411,60,,,24,86,17,2,0,843,13.4,PRODUCTIVE,49.1,22,
2025-09-07,16054,48,64,BALANCED,47,96,25,10,0,928,4.1,PRODUCTIVE,49.0,22,
2025-09-06,12150,57,,,43,80,26,6,27,556,9.8,PRODUCTIVE,49.0,22,
2025-09-05,17238,49,71,BALANCED,39,100,27,28,0,752,10.6,PRODUCTIVE,49.0,22,
2025-09-04,8560,61,,,25,95,13,11,36,451,2.9,PRODUCTIVE,49.0,22,
2025-09-03,13593,50,66,BALANCED,47,78,25,17,0,757,18.7,PRODUCTIVE,49.0,22,
2025-09-02,8943,64,,,37,95,16,7,10,797,3.7,MAINTAINING,49.0,22,
