date,score,level,feedback,sleep_score,hrv_factor,recovery_time_h,acute_load,stress_factor
2025-11-20,57,MODERATE,GOOD_SLEEP_HISTORY,86,BALANCED,6.7,229,GOOD
2025-11-19,76,HIGH,WELL_RECOVERED,94,BALANCED,2.5,204,GOOD
2025-11-18,57,MODERATE,GOOD_SLEEP_HISTORY,86,BALANCED,19.6,381,GOOD
2025-11-17,76,HIGH,WELL_RECOVERED,,BALANCED,5.5,236,GOOD
2025-11-16,58,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,5.7,232,GOOD
2025-11-15,73,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,27.7,339,GOOD
2025-11-14,71,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,20.7,219,GOOD
2025-11-13,67,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,15.3,391,GOOD
2025-11-12,68,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,9.8,258,GOOD
2025-11-11,71,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,22.8,194,GOOD
2025-11-10,73,MODERATE,GOOD_SLEEP_HISTORY,96,BALANCED,7.0,313,GOOD
2025-11-09,63,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,27.4,333,GOOD
2025-11-08,64,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,19.3,350,GOOD
2025-11-07,76,HIGH,WELL_RECOVERED,,BALANCED,13.4,402,GOOD
2025-11-06,74,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,6.9,203,GOOD
2025-11-05,66,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,19.7,414,GOOD
2025-11-04,66,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,4.2,258,GOOD
2025-11-03,65,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,6.4,216,GOOD
2025-11-02,73,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,11.2,194,GOOD
2025-11-01,58,MODERATE,GOOD_SLEEP_HISTORY,94,BALANCED,29.4,385,GOOD
2025-10-31,81,HIGH,WELL_RECOVERED,98,BALANCED,5.8,332,GOOD
2025-10-30,56,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,9.4,273,GOOD
2025-10-29,74,MODERATE,GOOD_SLEEP_HISTORY,89,BALANCED,19.0,241,GOOD
2025-10-28,63,MODERATE,GOOD_SLEEP_HISTORY,96,BALANCED,23.0,321,GOOD
2025-10-27,73,MODERATE,GOOD_SLEEP_HISTORY,83,BALANCED,24.3,302,GOOD
2025-10-26,60,MODERATE,GOOD_SLEEP_HISTORY,90,BALANCED,5.7,356,GOOD
2025-10-25,52,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,18.9,399,GOOD
2025-10-24,77,HIGH,WELL_RECOVERED,95,BALANCED,19.9,332,GOOD
2025-10-23,74,MODERATE,GOOD_SLEEP_HISTORY,87,BALANCED,13.3,277,GOOD
2025-10-22,77,HIGH,WELL_RECOVERED,,BALANCED,9.5,306,GOOD
2025-10-21,75,HIGH,WELL_RECOVERED,97,BALANCED,15.7,326,GOOD
2025-10-20,65,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,19.9,312,GOOD
2025-10-19,64,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,24.7,188,GOOD
2025-10-18,58,MODERATE,GOOD_SLEEP_HISTORY,96,BALANCED,19.5,324,GOOD
2025-10-17,68,MODERATE,GOOD_SLEEP_HISTORY,95,BALANCED,9.0,273,GOOD
2025-10-16,77,HIGH,WELL_RECOVERED,94,BALANCED,25.1,190,GOOD
2025-10-15,68,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,29.2,320,GOOD
2025-10-14,69,MODERATE,GOOD_SLEEP_HISTORY,94,BALANCED,28.9,318,GOOD
2025-10-13,69,MODERATE,GOOD_SLEEP_HISTORY,85,BALANCED,9.9,245,GOOD
2025-10-12,81,HIGH,WELL_RECOVERED,90,BALANCED,0.4,363,GOOD
2025-10-11,50,MODERATE,GOOD_SLEEP_HISTORY,91,BALANCED,7.1,242,GOOD
2025-10-10,65,MODERATE,GOOD_SLEEP_HISTORY,94,BALANCED,6.0,367,GOOD
2025-10-09,58,MODERATE,GOOD_SLEEP_HISTORY,92,BALANCED,11.7,182,GOOD
2025-10-08,60,MODERATE,GOOD_SLEEP_HISTORY,94,BALANCED,13.1,229,GOOD
2025-10-07,78,HIGH,WELL_RECOVERED,,BALANCED,2.2,246,GOOD
2025-10-06,58,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,4.8,218,GOOD
2025-10-05,56,MODERATE,GOOD_SLEEP_HISTORY,94,BALANCED,29.0,234,GOOD
2025-10-04,75,HIGH,WELL_RECOVERED,92,BALANCED,15.0,344,GOOD
2025-10-03,71,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,8.3,269,GOOD
2025-10-02,71,MODERATE,GOOD_SLEEP_HISTORY,97,BALANCED,3.6,182,GOOD
2025-10-01,75,HIGH,WELL_RECOVERED,,BALANCED,15.8,322,GOOD
2025-09-30,76,HIGH,WELL_RECOVERED,94,BALANCED,12.6,312,GOOD
2025-09-29,57,MODERATE,GOOD_SLEEP_HISTORY,97,BALANCED,27.5,404,GOOD
2025-09-28,74,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,25.7,182,GOOD
2025-09-27,69,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,27.9,327,GOOD
2025-09-26,64,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,15.5,367,GOOD
2025-09-25,75,HIGH,WELL_RECOVERED,,BALANCED,20.2,339,GOOD
2025-09-24,70,MODERATE,GOOD_SLEEP_HISTORY,90,BALANCED,28.7,416,GOOD
2025-09-23,69,MODERATE,GOOD_SLEEP_HISTORY,93,BALANCED,12.9,367,GOOD
2025-09-22,74,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,26.6,289,GOOD
2025-09-21,73,MODERATE,GOOD_SLEEP_HISTORY,88,BALANCED,13.3,412,GOOD
2025-09-20,83,HIGH,WELL_RECOVERED,94,BALANCED,28.4,201,GOOD
2025-09-19,76,HIGH,WELL_RECOVERED,95,BALANCED,1.1,384,GOOD
2025-09-18,55,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,4.9,192,GOOD
2025-09-17,62,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,13.5,216,GOOD
2025-09-16,59,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,22.8,381,GOOD
2025-09-15,68,MODERATE,GOOD_SLEEP_HISTORY,93,BALANCED,26.4,210,GOOD
2025-09-14,67,MODERATE,GOOD_SLEEP_HISTORY,93,BALANCED,0.4,221,GOOD
2025-09-13,57,MODERATE,GOOD_SLEEP_HISTORY,81,BALANCED,3.3,266,GOOD
2025-09-12,64,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,17.0,384,GOOD
2025-09-11,72,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,21.6,265,GOOD
2025-09-10,68,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,9.6,370,GOOD
2025-09-09,59,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,18.0,349,GOOD
2025-09-08,54,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,6.0,356,GOOD
2025-09-07,51,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,18.7,204,GOOD
2025-09-06,62,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,22.8,303,GOOD
2025-09-05,61,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,16.4,295,GOOD
2025-09-04,79,HIGH,WELL_RECOVERED,,BALANCED,7.3,366,GOOD
2025-09-03,68,MODERATE,GOOD_SLEEP_HISTORY,97,BALANCED,26.4,204,GOOD
2025-09-02,60,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,29.0,408,GOOD
